Marketing_Partner,Region,Q1_Performance_Score,Total_Conversions,Average_Order_Value,Customer_Satisfaction,Market_Share
Google Ads,North America,82.5,4250,125.50,4.2,18.5
Google Ads,Europe,78.3,3800,118.75,4.1,16.2
Google Ads,Asia Pacific,75.6,3200,98.25,3.9,14.8
Google Ads,Latin America,68.4,2100,85.50,3.7,11.5
Facebook,North America,76.8,3500,98.75,3.8,15.2
Facebook,Europe,74.2,3200,95.50,3.7,14.5
Facebook,Asia Pacific,79.5,3800,88.25,4.0,16.8
Facebook,Latin America,65.3,1800,72.50,3.5,9.8
LinkedIn,North America,88.5,2800,225.75,4.5,12.5
LinkedIn,Europe,85.2,2400,215.50,4.4,11.2
LinkedIn,Asia Pacific,72.4,1600,195.25,3.8,8.5
LinkedIn,Latin America,68.7,1200,178.50,3.6,6.2
Email Marketing,North America,91.2,5200,85.25,4.6,22.5
Email Marketing,Europe,89.5,4800,82.50,4.5,20.8
Email Marketing,Asia Pacific,84.3,3900,78.75,4.3,17.2
Email Marketing,Latin America,78.6,2800,68.50,4.0,13.5
Instagram,North America,73.4,2900,78.50,3.9,13.8
Instagram,Europe,71.8,2700,75.25,3.8,12.9
Instagram,Asia Pacific,82.6,4200,68.75,4.2,18.5
Instagram,Latin America,69.2,2000,58.50,3.6,10.2
YouTube,North America,80.5,3600,112.25,4.1,16.8
YouTube,Europe,77.3,3300,108.50,4.0,15.5
YouTube,Asia Pacific,83.7,4100,95.75,4.3,19.2
YouTube,Latin America,71.4,2400,82.50,3.7,12.5
TikTok,North America,70.2,2200,65.75,3.7,11.5
TikTok,Europe,68.5,2000,62.50,3.6,10.8
TikTok,Asia Pacific,86.3,4800,55.25,4.4,21.5
TikTok,Latin America,74.8,2600,48.50,3.8,13.2
Affiliate Network,North America,85.7,3900,145.50,4.3,17.8
Affiliate Network,Europe,83.2,3600,138.75,4.2,16.5
Affiliate Network,Asia Pacific,78.5,3000,125.25,4.0,14.2
Affiliate Network,Latin America,72.3,2200,108.50,3.8,11.5